dataset,model,source_label,feature_name,trial_type,alpha_aug,alpha_mix_json,recdim,seed,trial_idx,lr,decay,topks,final_epoch,final_loss,training_time_seconds,precision@20,recall@20,ndcg@20
ml-1m,lgn,50,Age,proportional,1.0,"{""1"": 0.04004329004329004, ""18"": 0.19895382395382397, ""25"": 0.37806637806637805, ""35"": 0.21518759018759018, ""45"": 0.0992063492063492, ""56"": 0.06854256854256854}",2,2221,1,0.1,0.001,[20],40,0.283,14.08145430102013,0.12489919,0.10984177,0.15947106
ml-1m,lgn,50,Age,proportional,1.0,"{""1"": 0.04004329004329004, ""18"": 0.19895382395382397, ""25"": 0.37806637806637805, ""35"": 0.21518759018759018, ""45"": 0.0992063492063492, ""56"": 0.06854256854256854}",2,2222,2,0.1,0.001,[20],40,0.287,12.943589868955314,0.12993952,0.1125997,0.17112363
ml-1m,lgn,50,Age,proportional,1.0,"{""1"": 0.04004329004329004, ""18"": 0.19895382395382397, ""25"": 0.37806637806637805, ""35"": 0.21518759018759018, ""45"": 0.0992063492063492, ""56"": 0.06854256854256854}",2,2223,3,0.1,0.001,[20],40,0.292,12.907948995940387,0.12268145,0.10720592,0.15879327
ml-1m,lgn,50,Age,proportional,1.0,"{""1"": 0.04004329004329004, ""18"": 0.19895382395382397, ""25"": 0.37806637806637805, ""35"": 0.21518759018759018, ""45"": 0.0992063492063492, ""56"": 0.06854256854256854}",2,2224,4,0.1,0.001,[20],40,0.31,13.01204733690247,0.11582661,0.10356003,0.15165933
ml-1m,lgn,50,Age,proportional,1.0,"{""1"": 0.04004329004329004, ""18"": 0.19895382395382397, ""25"": 0.37806637806637805, ""35"": 0.21518759018759018, ""45"": 0.0992063492063492, ""56"": 0.06854256854256854}",2,2225,5,0.1,0.001,[20],40,0.277,13.179772731964476,0.13316532,0.11631245,0.17276072
ml-1m,lgn,50,Age,proportional,1.0,"{""1"": 0.04004329004329004, ""18"": 0.19895382395382397, ""25"": 0.37806637806637805, ""35"": 0.21518759018759018, ""45"": 0.0992063492063492, ""56"": 0.06854256854256854}",2,2226,6,0.1,0.001,[20],40,0.295,13.78682093298994,0.11885081,0.10748029,0.1538617
ml-1m,lgn,50,Age,proportional,1.0,"{""1"": 0.04004329004329004, ""18"": 0.19895382395382397, ""25"": 0.37806637806637805, ""35"": 0.21518759018759018, ""45"": 0.0992063492063492, ""56"": 0.06854256854256854}",2,2227,7,0.1,0.001,[20],40,0.312,12.980750465998426,0.1140121,0.10341041,0.14963959
ml-1m,lgn,50,Age,proportional,1.0,"{""1"": 0.04004329004329004, ""18"": 0.19895382395382397, ""25"": 0.37806637806637805, ""35"": 0.21518759018759018, ""45"": 0.0992063492063492, ""56"": 0.06854256854256854}",2,2228,8,0.1,0.001,[20],40,0.29,12.967677286011167,0.12197581,0.10951494,0.15894858
ml-1m,lgn,50,Age,proportional,1.0,"{""1"": 0.04004329004329004, ""18"": 0.19895382395382397, ""25"": 0.37806637806637805, ""35"": 0.21518759018759018, ""45"": 0.0992063492063492, ""56"": 0.06854256854256854}",2,2229,9,0.1,0.001,[20],40,0.289,12.983701382065192,0.1202621,0.10533448,0.15539815
ml-1m,lgn,50,Age,proportional,1.0,"{""1"": 0.04004329004329004, ""18"": 0.19895382395382397, ""25"": 0.37806637806637805, ""35"": 0.21518759018759018, ""45"": 0.0992063492063492, ""56"": 0.06854256854256854}",2,2230,10,0.1,0.001,[20],40,0.28,12.8954080210533,0.12752016,0.1123504,0.16757031
