dataset,model,source_label,feature_name,trial_type,alpha_aug,alpha_mix_json,recdim,seed,trial_idx,lr,decay,topks,final_epoch,final_loss,training_time_seconds,precision@100,recall@100,ndcg@100
lastfm-asia,mf,17,Country,proportional,1.0,"{""0"": 0.3749557835160948, ""10"": 0.4474708171206226, ""3"": 0.17757339936328262}",2,2221,1,0.1,0.01,[100],40,0.397,24.380035578040406,0.13953115,0.20248561,0.2212436
lastfm-asia,mf,17,Country,proportional,1.0,"{""0"": 0.3749557835160948, ""10"": 0.4474708171206226, ""3"": 0.17757339936328262}",2,2222,2,0.1,0.01,[100],40,0.395,21.864354229997844,0.14034829,0.20521891,0.22293495
lastfm-asia,mf,17,Country,proportional,1.0,"{""0"": 0.3749557835160948, ""10"": 0.4474708171206226, ""3"": 0.17757339936328262}",2,2223,3,0.1,0.01,[100],40,0.396,21.586148728150874,0.13577361,0.20083189,0.21543572
lastfm-asia,mf,17,Country,proportional,1.0,"{""0"": 0.3749557835160948, ""10"": 0.4474708171206226, ""3"": 0.17757339936328262}",2,2224,4,0.1,0.01,[100],40,0.396,20.955778141971678,0.13756196,0.1966967,0.21525648
lastfm-asia,mf,17,Country,proportional,1.0,"{""0"": 0.3749557835160948, ""10"": 0.4474708171206226, ""3"": 0.17757339936328262}",2,2225,5,0.1,0.01,[100],40,0.395,21.314716327004135,0.14219022,0.20846559,0.22737286
lastfm-asia,mf,17,Country,proportional,1.0,"{""0"": 0.3749557835160948, ""10"": 0.4474708171206226, ""3"": 0.17757339936328262}",2,2226,6,0.1,0.01,[100],40,0.394,21.238240660866722,0.14085733,0.20632928,0.22477576
lastfm-asia,mf,17,Country,proportional,1.0,"{""0"": 0.3749557835160948, ""10"": 0.4474708171206226, ""3"": 0.17757339936328262}",2,2227,7,0.1,0.01,[100],40,0.407,21.27831768593751,0.11777629,0.16649912,0.17863253
lastfm-asia,mf,17,Country,proportional,1.0,"{""0"": 0.3749557835160948, ""10"": 0.4474708171206226, ""3"": 0.17757339936328262}",2,2228,8,0.1,0.01,[100],40,0.403,21.880435131955892,0.13253182,0.18555621,0.20863779
lastfm-asia,mf,17,Country,proportional,1.0,"{""0"": 0.3749557835160948, ""10"": 0.4474708171206226, ""3"": 0.17757339936328262}",2,2229,9,0.1,0.01,[100],40,0.395,22.0999059129972,0.13988614,0.20518463,0.22308092
lastfm-asia,mf,17,Country,proportional,1.0,"{""0"": 0.3749557835160948, ""10"": 0.4474708171206226, ""3"": 0.17757339936328262}",2,2230,10,0.1,0.01,[100],40,0.416,20.75306454207748,0.1180509,0.16169835,0.1742678
lastfm-asia,mf,17,Country,proportional,1.0,"{""0"": 0.3749557835160948, ""10"": 0.4474708171206226, ""3"": 0.17757339936328262}",2,2231,11,0.1,0.01,[100],40,0.394,22.320988819934428,0.14008038,0.20441279,0.22118958
lastfm-asia,mf,17,Country,proportional,1.0,"{""0"": 0.3749557835160948, ""10"": 0.4474708171206226, ""3"": 0.17757339936328262}",2,2232,12,0.1,0.01,[100],40,0.413,21.82915609399788,0.11655057,0.17324931,0.1842087
lastfm-asia,mf,17,Country,proportional,1.0,"{""0"": 0.3749557835160948, ""10"": 0.4474708171206226, ""3"": 0.17757339936328262}",2,2233,13,0.1,0.01,[100],40,0.412,21.035119875799865,0.13925653,0.20419929,0.22135776
lastfm-asia,mf,17,Country,proportional,1.0,"{""0"": 0.3749557835160948, ""10"": 0.4474708171206226, ""3"": 0.17757339936328262}",2,2234,14,0.1,0.01,[100],40,0.396,20.924020380014554,0.14020094,0.20449922,0.22222985
lastfm-asia,mf,17,Country,proportional,1.0,"{""0"": 0.3749557835160948, ""10"": 0.4474708171206226, ""3"": 0.17757339936328262}",2,2235,15,0.1,0.01,[100],40,0.403,21.76082762889564,0.13075017,0.18628182,0.20674746
lastfm-asia,mf,17,Country,proportional,1.0,"{""0"": 0.3749557835160948, ""10"": 0.4474708171206226, ""3"": 0.17757339936328262}",2,2236,16,0.1,0.01,[100],40,0.398,22.095187095925212,0.13634293,0.19449289,0.21375355
lastfm-asia,mf,17,Country,proportional,1.0,"{""0"": 0.3749557835160948, ""10"": 0.4474708171206226, ""3"": 0.17757339936328262}",2,2237,17,0.1,0.01,[100],40,0.407,21.497301500989124,0.1248493,0.16929632,0.18895492
lastfm-asia,mf,17,Country,proportional,1.0,"{""0"": 0.3749557835160948, ""10"": 0.4474708171206226, ""3"": 0.17757339936328262}",2,2238,18,0.1,0.01,[100],40,0.409,22.025262420997024,0.11378433,0.16424037,0.17343981
lastfm-asia,mf,17,Country,proportional,1.0,"{""0"": 0.3749557835160948, ""10"": 0.4474708171206226, ""3"": 0.17757339936328262}",2,2239,19,0.1,0.01,[100],40,0.395,23.138265668880194,0.14074347,0.20682162,0.22598333
lastfm-asia,mf,17,Country,proportional,1.0,"{""0"": 0.3749557835160948, ""10"": 0.4474708171206226, ""3"": 0.17757339936328262}",2,2240,20,0.1,0.01,[100],40,0.397,22.22143565514125,0.13994642,0.20477657,0.22290455
lastfm-asia,mf,17,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""3"": 0.3333333333333333}",2,2221,1,0.1,0.01,[100],40,0.408,23.277750286040828,0.12823845,0.18760754,0.19646855
lastfm-asia,mf,17,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""3"": 0.3333333333333333}",2,2222,2,0.1,0.01,[100],40,0.399,21.944779478944838,0.13822505,0.1998807,0.21923377
lastfm-asia,mf,17,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""3"": 0.3333333333333333}",2,2223,3,0.1,0.01,[100],40,0.401,21.886289816116914,0.1329136,0.19346585,0.20930192
lastfm-asia,mf,17,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""3"": 0.3333333333333333}",2,2224,4,0.1,0.01,[100],40,0.4,21.269441282143816,0.13440054,0.18839763,0.20921896
lastfm-asia,mf,17,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""3"": 0.3333333333333333}",2,2225,5,0.1,0.01,[100],40,0.397,21.063103823922575,0.14094441,0.20600316,0.22513781
lastfm-asia,mf,17,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""3"": 0.3333333333333333}",2,2226,6,0.1,0.01,[100],40,0.396,21.35984332393855,0.14014735,0.20515013,0.22380419
lastfm-asia,mf,17,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""3"": 0.3333333333333333}",2,2227,7,0.1,0.01,[100],40,0.411,21.703111151000485,0.11896852,0.17252852,0.1840929
lastfm-asia,mf,17,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""3"": 0.3333333333333333}",2,2228,8,0.1,0.01,[100],40,0.407,21.45515644410625,0.13236437,0.18323854,0.20620888
lastfm-asia,mf,17,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""3"": 0.3333333333333333}",2,2229,9,0.1,0.01,[100],40,0.398,21.24116467614658,0.13976557,0.2039814,0.22158246
lastfm-asia,mf,17,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""3"": 0.3333333333333333}",2,2230,10,0.1,0.01,[100],40,0.417,21.11193094588816,0.11543202,0.15867934,0.1703242
lastfm-asia,mf,17,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""3"": 0.3333333333333333}",2,2231,11,0.1,0.01,[100],40,0.399,20.974314408842474,0.1390355,0.20188421,0.21821028
lastfm-asia,mf,17,Country,stratified,1.0,"{""0"": 0.3333333333333333, ""10"": 0.3333333333333333, ""3"": 0.3333333333333333}",2,2232,12,0.1,0.01,[100],40,0.421,21.401173033053055,0.1196919,0.17988667,0.18808217
