dataset,model,source_label,feature_name,trial_type,alpha_aug,alpha_mix_json,recdim,seed,trial_idx,lr,decay,topks,final_epoch,final_loss,training_time_seconds,precision@20,recall@20,ndcg@20
ml-1m,mf,45,Age,proportional,1.0,"{""1"": 0.040437158469945354, ""18"": 0.20091074681238616, ""25"": 0.3817850637522769, ""35"": 0.21730418943533697, ""50"": 0.09034608378870675, ""56"": 0.0692167577413479}",2,2221,1,0.1,0.01,[20],40,0.347,23.914729525102302,0.11881818,0.09897259,0.15124887
ml-1m,mf,45,Age,proportional,1.0,"{""1"": 0.040437158469945354, ""18"": 0.20091074681238616, ""25"": 0.3817850637522769, ""35"": 0.21730418943533697, ""50"": 0.09034608378870675, ""56"": 0.0692167577413479}",2,2222,2,0.1,0.01,[20],40,0.326,13.132690424798056,0.12863636,0.10857565,0.16263588
ml-1m,mf,45,Age,proportional,1.0,"{""1"": 0.040437158469945354, ""18"": 0.20091074681238616, ""25"": 0.3817850637522769, ""35"": 0.21730418943533697, ""50"": 0.09034608378870675, ""56"": 0.0692167577413479}",2,2223,3,0.1,0.01,[20],40,0.347,12.854652473004535,0.11790909,0.09546495,0.14736442
ml-1m,mf,45,Age,proportional,1.0,"{""1"": 0.040437158469945354, ""18"": 0.20091074681238616, ""25"": 0.3817850637522769, ""35"": 0.21730418943533697, ""50"": 0.09034608378870675, ""56"": 0.0692167577413479}",2,2224,4,0.1,0.01,[20],40,0.363,13.910600364906713,0.1,0.08031941,0.1239582
ml-1m,mf,45,Age,proportional,1.0,"{""1"": 0.040437158469945354, ""18"": 0.20091074681238616, ""25"": 0.3817850637522769, ""35"": 0.21730418943533697, ""50"": 0.09034608378870675, ""56"": 0.0692167577413479}",2,2225,5,0.1,0.01,[20],40,0.341,12.764092369005084,0.12636364,0.10060309,0.15716774
ml-1m,mf,45,Age,proportional,1.0,"{""1"": 0.040437158469945354, ""18"": 0.20091074681238616, ""25"": 0.3817850637522769, ""35"": 0.21730418943533697, ""50"": 0.09034608378870675, ""56"": 0.0692167577413479}",2,2226,6,0.1,0.01,[20],40,0.335,12.58805225789547,0.11918182,0.09983845,0.14642271
ml-1m,mf,45,Age,proportional,1.0,"{""1"": 0.040437158469945354, ""18"": 0.20091074681238616, ""25"": 0.3817850637522769, ""35"": 0.21730418943533697, ""50"": 0.09034608378870675, ""56"": 0.0692167577413479}",2,2227,7,0.1,0.01,[20],40,0.349,12.492780423955992,0.11590909,0.09286765,0.14353157
ml-1m,mf,45,Age,proportional,1.0,"{""1"": 0.040437158469945354, ""18"": 0.20091074681238616, ""25"": 0.3817850637522769, ""35"": 0.21730418943533697, ""50"": 0.09034608378870675, ""56"": 0.0692167577413479}",2,2228,8,0.1,0.01,[20],40,0.387,13.160851891851053,0.10809091,0.08336062,0.12874233
ml-1m,mf,45,Age,proportional,1.0,"{""1"": 0.040437158469945354, ""18"": 0.20091074681238616, ""25"": 0.3817850637522769, ""35"": 0.21730418943533697, ""50"": 0.09034608378870675, ""56"": 0.0692167577413479}",2,2229,9,0.1,0.01,[20],40,0.353,12.429237028816715,0.11945455,0.10035906,0.1488208
ml-1m,mf,45,Age,proportional,1.0,"{""1"": 0.040437158469945354, ""18"": 0.20091074681238616, ""25"": 0.3817850637522769, ""35"": 0.21730418943533697, ""50"": 0.09034608378870675, ""56"": 0.0692167577413479}",2,2230,10,0.1,0.01,[20],40,0.347,13.582265259930864,0.11945455,0.09809403,0.14852994
ml-1m,mf,45,Age,proportional,1.0,"{""1"": 0.040437158469945354, ""18"": 0.20091074681238616, ""25"": 0.3817850637522769, ""35"": 0.21730418943533697, ""50"": 0.09034608378870675, ""56"": 0.0692167577413479}",2,2231,11,0.1,0.01,[20],40,0.344,12.762632853118703,0.11290909,0.09038147,0.14012886
